7298,7299,2,50
55699,7298,3,49
7298,7339,4,48
7298,7343,5,47
7298,7345,6,46
13669,7298,7,45
196303,7299,8,44
115781,55699,9,43
147654,55699,10,42
45944,55699,11,41
32925,55699,12,40
42575,55699,13,39
34257,7339,14,38
12042,7339,15,37
18351,7339,16,36
13667,13669,17,35
13669,13670,18,34
13669,13672,19,33
115781,15152,20,32
115781,26149,21,31
115781,126487,22,30
147654,99100,23,29
173856,45944,24,28
11617,45944,25,27
130912,45944,26,26
132635,45944,27,25
45944,9437,28,24
32925,4835,29,23
10257,42575,30,22
12103,34257,31,21
22919,34257,32,20
34257,48397,33,19
11649,12042,34,18
12037,12042,35,17
12042,12683,36,16
12042,13459,37,15
12042,21612,38,14
128205,18351,39,13
18351,37755,40,12
18351,34224,41,11
18351,35763,42,10
18351,37788,43,9
13667,24016,44,8
128189,173856,45,7
1124,11617,46,6
1117,11617,47,5
132635,90548,48,4
1843,9437,49,3
2552,9437,50,2
