7298,1,51
7299,2,50
55699,3,49
7339,4,48
7343,5,47
7345,6,46
13669,7,45
196303,8,44
115781,9,43
147654,10,42
45944,11,41
32925,12,40
42575,13,39
34257,14,38
12042,15,37
18351,16,36
13667,17,35
13670,18,34
13672,19,33
15152,20,32
26149,21,31
126487,22,30
99100,23,29
173856,24,28
11617,25,27
130912,26,26
132635,27,25
9437,28,24
4835,29,23
10257,30,22
12103,31,21
22919,32,20
48397,33,19
11649,34,18
12037,35,17
12683,36,16
13459,37,15
21612,38,14
128205,39,13
37755,40,12
34224,41,11
35763,42,10
37788,43,9
24016,44,8
128189,45,7
1124,46,6
1117,47,5
90548,48,4
1843,49,3
2552,50,2
